,Date,Team,2007,Last 3,Last 1,Home,Away,2006,Current,Previous
1264,2007-05-19,Milwaukee,,0.333,0.000,0.750,0.462,,0.636,--
1265,2007-05-19,Detroit,,0.667,1.000,0.600,0.615,,0.607,--
1266,2007-05-19,Atlanta,,0.333,0.000,0.615,0.579,,0.594,1.000
1267,2007-05-19,San Diego,,0.667,1.000,0.625,0.500,,0.563,0.000
1268,2007-05-19,LA Dodgers,,0.667,0.000,0.600,0.529,,0.563,--
1269,2007-05-19,Philadelphia,,0.667,1.000,0.611,0.474,,0.541,0.000
1270,2007-05-19,Chi Sox,,0.333,0.000,0.462,0.571,,0.519,--
1271,2007-05-19,Chi Cubs,,0.333,1.000,0.500,0.529,,0.516,1.000
1272,2007-05-19,SF Giants,,0.333,0.000,0.579,0.429,,0.515,--
1273,2007-05-19,Seattle,,0.000,0.000,0.563,0.429,,0.500,--
1274,2007-05-19,Miami,,0.667,1.000,0.529,0.471,,0.500,--
1275,2007-05-19,Arizona,,0.333,0.000,0.615,0.400,,0.485,--
1276,2007-05-19,Pittsburgh,,0.667,1.000,0.529,0.438,,0.485,--
1277,2007-05-19,Oakland,,0.333,1.000,0.429,0.529,,0.484,--
1278,2007-05-19,Kansas City,,1.000,1.000,0.412,0.539,,0.467,--
1279,2007-05-19,Houston,,0.333,0.000,0.471,0.438,,0.455,--
1280,2007-05-19,Minnesota,,0.333,1.000,0.400,0.467,,0.433,1.000
1281,2007-05-19,Tampa Bay,,0.667,0.000,0.563,0.250,,0.429,--
1282,2007-05-19,NY Yankees,,0.333,0.000,0.539,0.286,,0.407,--
1283,2007-05-19,Toronto,,0.667,0.000,0.500,0.313,,0.400,0.000
1284,2007-05-19,Baltimore,,0.333,1.000,0.571,0.200,,0.379,--
1285,2007-05-19,Colorado,,0.333,0.000,0.389,0.357,,0.375,--
1286,2007-05-19,St. Louis,,0.000,0.000,0.462,0.294,,0.367,0.000
1287,2007-05-19,Texas,,0.333,1.000,0.500,0.235,,0.355,--
1288,2007-05-19,Cincinnati,,0.333,0.000,0.375,0.313,,0.344,1.000
1289,2007-05-19,Washington,,0.667,0.000,0.471,0.200,,0.344,--
1290,2007-05-20,LA Angels,,1.000,1.000,0.750,0.643,,0.706,--
1291,2007-05-20,NY Mets,,1.000,1.000,0.600,0.733,,0.657,--
1292,2007-05-20,Cleveland,,0.667,0.000,0.846,0.526,,0.656,--
1293,2007-05-20,Boston,,0.333,0.000,0.600,0.714,,0.655,--
1294,2007-05-20,Detroit,,0.667,1.000,0.625,0.615,,0.621,--
1295,2007-05-20,Milwaukee,,0.333,0.000,0.714,0.462,,0.618,--
1296,2007-05-20,Atlanta,,0.333,1.000,0.615,0.600,,0.606,1.000
1297,2007-05-20,San Diego,,0.667,0.000,0.625,0.471,,0.546,0.000
1298,2007-05-20,LA Dodgers,,0.333,0.000,0.600,0.500,,0.546,--
1299,2007-05-20,Chi Cubs,,0.667,1.000,0.533,0.529,,0.531,1.000
1300,2007-05-20,Philadelphia,,0.333,0.000,0.579,0.474,,0.526,0.000
1301,2007-05-20,Seattle,,0.333,1.000,0.588,0.429,,0.516,--
1302,2007-05-20,Miami,,0.667,1.000,0.529,0.500,,0.514,--
1303,2007-05-20,Oakland,,0.667,1.000,0.467,0.529,,0.500,--
1304,2007-05-20,Chi Sox,,0.333,0.000,0.462,0.533,,0.500,--
1305,2007-05-20,SF Giants,,0.333,0.000,0.579,0.400,,0.500,--
1306,2007-05-20,Arizona,,0.667,1.000,0.615,0.429,,0.500,--
1307,2007-05-20,Houston,,0.333,1.000,0.500,0.438,,0.471,--
1308,2007-05-20,Pittsburgh,,0.667,0.000,0.500,0.438,,0.471,--
1309,2007-05-20,Minnesota,,0.667,1.000,0.400,0.500,,0.452,1.000
1310,2007-05-20,Kansas City,,0.667,0.000,0.412,0.500,,0.452,--
1311,2007-05-20,Toronto,,0.667,1.000,0.500,0.353,,0.419,0.000
1312,2007-05-20,Tampa Bay,,0.333,0.000,0.529,0.250,,0.414,--
1313,2007-05-20,Baltimore,,0.667,1.000,0.571,0.250,,0.400,--
1314,2007-05-20,Colorado,,0.333,1.000,0.421,0.357,,0.394,--
1315,2007-05-20,NY Yankees,,0.000,0.000,0.539,0.267,,0.393,--
1316,2007-05-20,Cincinnati,,0.333,1.000,0.375,0.353,,0.364,1.000
1317,2007-05-20,St. Louis,,0.000,0.000,0.462,0.278,,0.355,0.000
1318,2007-05-20,Texas,,0.333,0.000,0.500,0.222,,0.344,--
1319,2007-05-20,Washington,,0.333,0.000,0.444,0.200,,0.333,--
1320,2007-05-21,LA Angels,,1.000,1.000,0.762,0.643,,0.714,--
1321,2007-05-21,Boston,,0.667,1.000,0.625,0.714,,0.667,--
1322,2007-05-21,Cleveland,,0.667,1.000,0.857,0.526,,0.667,--
1323,2007-05-21,NY Mets,,0.667,0.000,0.571,0.733,,0.639,--
1324,2007-05-21,Detroit,,1.000,1.000,0.647,0.615,,0.633,--
1325,2007-05-21,Milwaukee,,0.333,1.000,0.727,0.462,,0.629,--
1326,2007-05-21,Atlanta,,0.333,0.000,0.615,0.571,,0.588,1.000
1327,2007-05-21,San Diego,,0.667,1.000,0.625,0.500,,0.559,0.000
1328,2007-05-21,Philadelphia,,0.667,1.000,0.600,0.474,,0.539,0.000
1329,2007-05-21,LA Dodgers,,0.000,0.000,0.600,0.474,,0.529,--
1330,2007-05-21,Miami,,1.000,1.000,0.529,0.526,,0.528,--
1331,2007-05-21,Chi Sox,,0.333,1.000,0.462,0.563,,0.517,--
1332,2007-05-21,Chi Cubs,,0.667,0.000,0.500,0.529,,0.515,1.000
1333,2007-05-21,SF Giants,,0.333,1.000,0.579,0.438,,0.514,--
1334,2007-05-21,Arizona,,0.667,1.000,0.615,0.455,,0.514,--
1335,2007-05-21,Seattle,,0.333,0.000,0.556,0.429,,0.500,--
1336,2007-05-21,Oakland,,0.667,0.000,0.438,0.529,,0.485,--
1337,2007-05-21,Kansas City,,0.667,1.000,0.412,0.533,,0.469,--
1338,2007-05-21,Houston,,0.333,0.000,0.474,0.438,,0.457,--
1339,2007-05-21,Pittsburgh,,0.333,0.000,0.474,0.438,,0.457,--
1340,2007-05-21,Minnesota,,0.667,0.000,0.400,0.471,,0.438,1.000
1341,2007-05-21,NY Yankees,,0.333,1.000,0.539,0.313,,0.414,--
1342,2007-05-21,Toronto,,0.333,0.000,0.500,0.333,,0.406,0.000
1343,2007-05-21,Tampa Bay,,0.000,0.000,0.500,0.250,,0.400,--
1344,2007-05-21,Baltimore,,0.667,0.000,0.571,0.235,,0.387,--
1345,2007-05-21,Colorado,,0.333,0.000,0.400,0.357,,0.382,--
1346,2007-05-21,Texas,,0.667,1.000,0.500,0.263,,0.364,--
1347,2007-05-21,Cincinnati,,0.333,0.000,0.375,0.333,,0.353,1.000
1348,2007-05-21,Washington,,0.333,1.000,0.474,0.200,,0.353,--
1349,2007-05-21,St. Louis,,0.000,0.000,0.462,0.263,,0.344,0.000
1350,2007-05-22,LA Angels,,1.000,1.000,0.762,0.643,,0.714,--
1351,2007-05-22,Cleveland,,0.667,1.000,0.867,0.526,,0.677,--
1352,2007-05-22,Boston,,0.333,0.000,0.625,0.667,,0.645,--
1353,2007-05-22,NY Mets,,0.667,0.000,0.571,0.733,,0.639,--
1354,2007-05-22,Milwaukee,,0.667,1.000,0.727,0.500,,0.639,--
1355,2007-05-22,Detroit,,1.000,1.000,0.647,0.615,,0.633,--
1356,2007-05-22,Atlanta,,0.333,0.000,0.615,0.571,,0.588,1.000
1357,2007-05-22,San Diego,,0.667,1.000,0.625,0.500,,0.559,0.000
1358,2007-05-22,Philadelphia,,0.667,1.000,0.600,0.474,,0.539,0.000
1359,2007-05-22,Chi Sox,,0.667,1.000,0.500,0.563,,0.533,--
1360,2007-05-22,Miami,,1.000,1.000,0.529,0.526,,0.528,--
1361,2007-05-22,SF Giants,,0.667,1.000,0.600,0.438,,0.528,--
1362,2007-05-22,Arizona,,1.000,1.000,0.643,0.455,,0.528,--
1363,2007-05-22,Chi Cubs,,0.667,0.000,0.500,0.529,,0.515,1.000
1364,2007-05-22,LA Dodgers,,0.000,0.000,0.563,0.474,,0.514,--
1365,2007-05-22,Seattle,,0.333,0.000,0.556,0.400,,0.485,--
1366,2007-05-22,Oakland,,0.333,0.000,0.438,0.500,,0.471,--
1367,2007-05-22,Kansas City,,0.667,1.000,0.412,0.533,,0.469,--
1368,2007-05-22,Pittsburgh,,0.333,0.000,0.474,0.438,,0.457,--
1369,2007-05-22,Houston,,0.333,0.000,0.474,0.412,,0.444,--
1370,2007-05-22,NY Yankees,,0.667,1.000,0.571,0.313,,0.433,--
1371,2007-05-22,Minnesota,,0.333,0.000,0.400,0.444,,0.424,1.000
1372,2007-05-22,Toronto,,0.333,0.000,0.500,0.333,,0.406,0.000
1373,2007-05-22,Tampa Bay,,0.000,0.000,0.500,0.250,,0.400,--
1374,2007-05-22,Baltimore,,0.667,0.000,0.571,0.235,,0.387,--
1375,2007-05-22,Texas,,0.667,1.000,0.533,0.263,,0.382,--
1376,2007-05-22,Colorado,,0.333,0.000,0.400,0.333,,0.371,--
1377,2007-05-22,Cincinnati,,0.667,1.000,0.412,0.333,,0.371,1.000
1378,2007-05-22,St. Louis,,0.000,0.000,0.462,0.263,,0.344,0.000
1379,2007-05-22,Washington,,0.333,0.000,0.474,0.188,,0.343,--
1380,2007-05-23,LA Angels,,1.000,1.000,0.762,0.667,,0.722,--
1381,2007-05-23,Cleveland,,0.667,0.000,0.867,0.500,,0.657,--
1382,2007-05-23,Boston,,0.667,1.000,0.625,0.688,,0.656,--
1383,2007-05-23,NY Mets,,0.333,0.000,0.571,0.688,,0.622,--
1384,2007-05-23,Milwaukee,,0.667,0.000,0.727,0.467,,0.622,--
1385,2007-05-23,Detroit,,0.667,0.000,0.611,0.615,,0.613,--
1386,2007-05-23,Atlanta,,0.667,1.000,0.643,0.571,,0.600,1.000
1387,2007-05-23,San Diego,,0.667,1.000,0.647,0.500,,0.571,0.000
1388,2007-05-23,Chi Sox,,1.000,1.000,0.533,0.563,,0.548,--
1389,2007-05-23,Miami,,1.000,1.000,0.556,0.526,,0.541,--
1390,2007-05-23,SF Giants,,1.000,1.000,0.619,0.438,,0.541,--
1391,2007-05-23,LA Dodgers,,0.333,1.000,0.588,0.474,,0.528,--
1392,2007-05-23,Philadelphia,,0.333,0.000,0.600,0.450,,0.525,0.000
1393,2007-05-23,Arizona,,0.667,0.000,0.600,0.455,,0.514,--
1394,2007-05-23,Chi Cubs,,0.333,0.000,0.500,0.500,,0.500,1.000
1395,2007-05-23,Seattle,,0.333,1.000,0.556,0.438,,0.500,--
1396,2007-05-23,Kansas City,,0.667,1.000,0.444,0.533,,0.485,--
1397,2007-05-23,Oakland,,0.000,0.000,0.438,0.474,,0.457,--
1398,2007-05-23,Pittsburgh,,0.000,0.000,0.474,0.412,,0.444,--
1399,2007-05-23,Minnesota,,0.333,1.000,0.400,0.474,,0.441,1.000
1400,2007-05-23,Houston,,0.000,0.000,0.474,0.389,,0.432,--
1401,2007-05-23,Toronto,,0.667,1.000,0.500,0.368,,0.424,0.000
1402,2007-05-23,NY Yankees,,0.667,0.000,0.533,0.313,,0.419,--
1403,2007-05-23,Colorado,,0.333,1.000,0.400,0.375,,0.389,--
1404,2007-05-23,Tampa Bay,,0.000,0.000,0.474,0.250,,0.387,--
1405,2007-05-23,Baltimore,,0.333,0.000,0.533,0.235,,0.375,--
1406,2007-05-23,Texas,,0.667,0.000,0.500,0.263,,0.371,--
1407,2007-05-23,St. Louis,,0.333,1.000,0.500,0.263,,0.364,0.000
1408,2007-05-23,Cincinnati,,0.333,0.000,0.389,0.333,,0.361,1.000
1409,2007-05-23,Washington,,0.667,1.000,0.474,0.235,,0.361,--
1410,2007-05-24,LA Angels,,0.667,0.000,0.762,0.625,,0.703,--
1411,2007-05-24,Cleveland,,0.333,0.000,0.867,0.476,,0.639,--
1412,2007-05-24,Boston,,0.333,0.000,0.625,0.647,,0.636,--
1413,2007-05-24,NY Mets,,0.333,1.000,0.571,0.706,,0.632,--
1414,2007-05-24,Detroit,,0.667,1.000,0.632,0.615,,0.625,--
1415,2007-05-24,Milwaukee,,0.333,0.000,0.727,0.438,,0.605,--
1416,2007-05-24,Atlanta,,0.333,0.000,0.600,0.571,,0.583,1.000
1417,2007-05-24,San Diego,,1.000,1.000,0.667,0.500,,0.583,0.000
1418,2007-05-24,SF Giants,,1.000,1.000,0.636,0.438,,0.553,--
1419,2007-05-24,LA Dodgers,,0.667,1.000,0.611,0.474,,0.541,--
1420,2007-05-24,Philadelphia,,0.667,1.000,0.600,0.476,,0.537,0.000
1421,2007-05-24,Chi Sox,,0.667,0.000,0.500,0.563,,0.531,--
1422,2007-05-24,Miami,,0.667,0.000,0.526,0.526,,0.526,--
1423,2007-05-24,Seattle,,0.667,1.000,0.556,0.471,,0.514,--
1424,2007-05-24,Arizona,,0.333,0.000,0.563,0.455,,0.500,--
1425,2007-05-24,Kansas City,,1.000,1.000,0.474,0.533,,0.500,--
1426,2007-05-24,Chi Cubs,,0.000,0.000,0.500,0.474,,0.486,1.000
1427,2007-05-24,Oakland,,0.333,1.000,0.438,0.500,,0.472,--
1428,2007-05-24,Minnesota,,0.667,1.000,0.400,0.500,,0.457,1.000
1429,2007-05-24,NY Yankees,,0.667,1.000,0.563,0.313,,0.438,--
1430,2007-05-24,Pittsburgh,,0.000,0.000,0.474,0.389,,0.432,--
1431,2007-05-24,Houston,,0.000,0.000,0.474,0.368,,0.421,--
1432,2007-05-24,Toronto,,0.333,0.000,0.500,0.350,,0.412,0.000
1433,2007-05-24,Colorado,,0.667,1.000,0.400,0.412,,0.405,--
1434,2007-05-24,Baltimore,,0.333,1.000,0.563,0.235,,0.394,--
1435,2007-05-24,St. Louis,,0.667,1.000,0.533,0.263,,0.382,0.000
1436,2007-05-24,Washington,,0.667,1.000,0.474,0.278,,0.378,--
1437,2007-05-24,Tampa Bay,,0.000,0.000,0.450,0.250,,0.375,--
1438,2007-05-24,Texas,,0.333,0.000,0.471,0.263,,0.361,--
1439,2007-05-24,Cincinnati,,0.333,0.000,0.368,0.333,,0.351,1.000
1440,2007-05-25,LA Angels,,0.333,0.000,0.762,0.588,,0.684,--
1441,2007-05-25,Cleveland,,0.333,1.000,0.867,0.500,,0.649,--
1442,2007-05-25,Boston,,0.333,0.000,0.625,0.647,,0.636,--
1443,2007-05-25,Detroit,,0.667,1.000,0.650,0.615,,0.636,--
1444,2007-05-25,NY Mets,,0.333,0.000,0.571,0.667,,0.615,--
1445,2007-05-25,Milwaukee,,0.333,0.000,0.727,0.438,,0.605,--
1446,2007-05-25,Atlanta,,0.667,1.000,0.625,0.571,,0.595,1.000
1447,2007-05-25,San Diego,,0.667,0.000,0.632,0.500,,0.568,0.000
1448,2007-05-25,SF Giants,,1.000,1.000,0.636,0.438,,0.553,--
1449,2007-05-25,LA Dodgers,,0.667,1.000,0.611,0.474,,0.541,--
1450,2007-05-25,Miami,,0.667,1.000,0.550,0.526,,0.539,--
1451,2007-05-25,Chi Sox,,0.667,0.000,0.500,0.563,,0.531,--
1452,2007-05-25,Philadelphia,,0.333,0.000,0.600,0.455,,0.524,0.000
1453,2007-05-25,Arizona,,0.333,1.000,0.588,0.455,,0.513,--
1454,2007-05-25,Seattle,,0.667,0.000,0.556,0.444,,0.500,--
1455,2007-05-25,Chi Cubs,,0.333,1.000,0.500,0.500,,0.500,1.000
1456,2007-05-25,Kansas City,,0.667,0.000,0.450,0.533,,0.486,--
1457,2007-05-25,Oakland,,0.333,1.000,0.438,0.500,,0.472,--
1458,2007-05-25,Minnesota,,0.667,1.000,0.400,0.500,,0.457,1.000
1459,2007-05-25,NY Yankees,,0.667,1.000,0.563,0.313,,0.438,--
1460,2007-05-25,Toronto,,0.667,1.000,0.500,0.381,,0.429,0.000
1461,2007-05-25,Pittsburgh,,0.000,0.000,0.474,0.368,,0.421,--
1462,2007-05-25,Houston,,0.000,0.000,0.474,0.350,,0.410,--
1463,2007-05-25,Colorado,,0.667,1.000,0.400,0.412,,0.405,--
1464,2007-05-25,St. Louis,,1.000,1.000,0.563,0.263,,0.400,0.000
1465,2007-05-25,Washington,,1.000,1.000,0.474,0.316,,0.395,--
1466,2007-05-25,Tampa Bay,,0.333,1.000,0.476,0.250,,0.394,--
1467,2007-05-25,Baltimore,,0.333,0.000,0.529,0.235,,0.382,--
1468,2007-05-25,Texas,,0.333,0.000,0.471,0.263,,0.361,--
1469,2007-05-25,Cincinnati,,0.000,0.000,0.350,0.333,,0.342,1.000
1470,2007-05-26,LA Angels,,0.333,1.000,0.762,0.611,,0.692,--
1471,2007-05-26,Cleveland,,0.667,1.000,0.867,0.522,,0.658,--
1472,2007-05-26,Boston,,0.667,1.000,0.625,0.667,,0.647,--
1473,2007-05-26,NY Mets,,0.667,1.000,0.571,0.684,,0.625,--
1474,2007-05-26,Detroit,,0.667,0.000,0.619,0.615,,0.618,--
1475,2007-05-26,Milwaukee,,0.000,0.000,0.727,0.412,,0.590,--
1476,2007-05-26,Atlanta,,0.333,0.000,0.588,0.571,,0.579,1.000
1477,2007-05-26,San Diego,,0.667,1.000,0.650,0.500,,0.579,0.000
1478,2007-05-26,LA Dodgers,,1.000,1.000,0.632,0.474,,0.553,--
1479,2007-05-26,Chi Sox,,0.667,1.000,0.529,0.563,,0.546,--
1480,2007-05-26,SF Giants,,0.667,0.000,0.609,0.438,,0.539,--
1481,2007-05-26,Philadelphia,,0.667,1.000,0.600,0.478,,0.535,0.000
1482,2007-05-26,Arizona,,0.667,1.000,0.611,0.455,,0.525,--
1483,2007-05-26,Miami,,0.333,0.000,0.524,0.526,,0.525,--
1484,2007-05-26,Seattle,,0.667,1.000,0.556,0.474,,0.514,--
1485,2007-05-26,Chi Cubs,,0.333,0.000,0.500,0.476,,0.487,1.000
1486,2007-05-26,Oakland,,0.667,1.000,0.438,0.524,,0.487,--
1487,2007-05-26,Kansas City,,0.333,0.000,0.429,0.533,,0.472,--
1488,2007-05-26,Minnesota,,1.000,1.000,0.438,0.500,,0.472,1.000
1489,2007-05-26,Pittsburgh,,0.333,1.000,0.474,0.400,,0.436,--
1490,2007-05-26,NY Yankees,,0.333,0.000,0.529,0.313,,0.424,--
1491,2007-05-26,Colorado,,1.000,1.000,0.400,0.444,,0.421,--
1492,2007-05-26,Toronto,,0.333,0.000,0.500,0.364,,0.417,0.000
1493,2007-05-26,Washington,,1.000,1.000,0.474,0.350,,0.410,--
1494,2007-05-26,Houston,,0.000,0.000,0.474,0.333,,0.400,--
1495,2007-05-26,St. Louis,,0.667,0.000,0.529,0.263,,0.389,0.000
1496,2007-05-26,Tampa Bay,,0.333,0.000,0.476,0.231,,0.382,--
1497,2007-05-26,Baltimore,,0.333,0.000,0.500,0.235,,0.371,--
1498,2007-05-26,Texas,,0.000,0.000,0.444,0.263,,0.351,--
1499,2007-05-26,Cincinnati,,0.000,0.000,0.333,0.333,,0.333,1.000
1500,2007-05-27,LA Angels,,0.667,1.000,0.762,0.632,,0.700,--
1501,2007-05-27,Cleveland,,1.000,1.000,0.867,0.542,,0.667,--
1502,2007-05-27,Boston,,0.667,1.000,0.625,0.684,,0.657,--
1503,2007-05-27,NY Mets,,0.667,1.000,0.571,0.700,,0.634,--
1504,2007-05-27,Detroit,,0.333,0.000,0.591,0.615,,0.600,--
1505,2007-05-27,San Diego,,0.667,1.000,0.667,0.500,,0.590,0.000
1506,2007-05-27,Milwaukee,,0.000,0.000,0.727,0.389,,0.575,--
1507,2007-05-27,Atlanta,,0.333,0.000,0.556,0.571,,0.564,1.000
1508,2007-05-27,Chi Sox,,0.667,1.000,0.529,0.563,,0.546,--
1509,2007-05-27,Philadelphia,,0.667,1.000,0.600,0.500,,0.546,0.000
1510,2007-05-27,LA Dodgers,,0.667,0.000,0.600,0.474,,0.539,--
1511,2007-05-27,Arizona,,1.000,1.000,0.632,0.455,,0.537,--
1512,2007-05-27,Seattle,,0.667,1.000,0.556,0.500,,0.526,--
1513,2007-05-27,SF Giants,,0.333,0.000,0.583,0.438,,0.525,--
1514,2007-05-27,Miami,,0.333,0.000,0.500,0.526,,0.512,--
1515,2007-05-27,Chi Cubs,,0.667,1.000,0.500,0.500,,0.500,1.000
1516,2007-05-27,Oakland,,0.667,0.000,0.438,0.500,,0.474,--
1517,2007-05-27,Minnesota,,0.667,0.000,0.412,0.500,,0.460,1.000
1518,2007-05-27,Kansas City,,0.000,0.000,0.409,0.533,,0.460,--
1519,2007-05-27,Pittsburgh,,0.667,1.000,0.474,0.429,,0.450,--
1520,2007-05-27,Colorado,,1.000,1.000,0.400,0.474,,0.436,--
1521,2007-05-27,Toronto,,0.667,1.000,0.500,0.391,,0.432,0.000
1522,2007-05-27,NY Yankees,,0.333,0.000,0.500,0.313,,0.412,--
1523,2007-05-27,St. Louis,,0.667,1.000,0.556,0.263,,0.405,0.000
1524,2007-05-27,Washington,,0.667,0.000,0.474,0.333,,0.400,--
1525,2007-05-27,Houston,,0.000,0.000,0.474,0.318,,0.390,--
1526,2007-05-27,Baltimore,,0.333,1.000,0.526,0.235,,0.389,--
1527,2007-05-27,Tampa Bay,,0.333,0.000,0.476,0.231,,0.382,--
1528,2007-05-27,Texas,,0.000,0.000,0.421,0.263,,0.342,--
1529,2007-05-27,Cincinnati,,0.000,0.000,0.318,0.333,,0.325,1.000
1530,2007-05-28,LA Angels,,1.000,1.000,0.762,0.650,,0.707,--
1531,2007-05-28,Cleveland,,1.000,1.000,0.867,0.560,,0.675,--
1532,2007-05-28,Boston,,1.000,1.000,0.625,0.700,,0.667,--
1533,2007-05-28,NY Mets,,1.000,1.000,0.571,0.714,,0.643,--
1534,2007-05-28,San Diego,,1.000,1.000,0.682,0.500,,0.600,0.000
1535,2007-05-28,Detroit,,0.000,0.000,0.565,0.615,,0.583,--
1536,2007-05-28,Milwaukee,,0.000,0.000,0.727,0.368,,0.561,--
1537,2007-05-28,Philadelphia,,1.000,1.000,0.600,0.520,,0.556,0.000
1538,2007-05-28,LA Dodgers,,0.667,1.000,0.619,0.474,,0.550,--
1539,2007-05-28,Atlanta,,0.000,0.000,0.526,0.571,,0.550,1.000
1540,2007-05-28,Arizona,,1.000,1.000,0.650,0.455,,0.548,--
1541,2007-05-28,Seattle,,1.000,1.000,0.556,0.524,,0.539,--
1542,2007-05-28,Chi Sox,,0.333,0.000,0.500,0.563,,0.529,--
1543,2007-05-28,SF Giants,,0.000,0.000,0.560,0.438,,0.512,--
1544,2007-05-28,Miami,,0.000,0.000,0.478,0.526,,0.500,--
1545,2007-05-28,Chi Cubs,,0.333,0.000,0.500,0.478,,0.487,1.000
1546,2007-05-28,Minnesota,,0.667,1.000,0.444,0.500,,0.474,1.000
1547,2007-05-28,Pittsburgh,,1.000,1.000,0.474,0.455,,0.463,--
1548,2007-05-28,Oakland,,0.333,0.000,0.438,0.478,,0.462,--
1549,2007-05-28,Colorado,,1.000,1.000,0.400,0.500,,0.450,--
1550,2007-05-28,Kansas City,,0.000,0.000,0.391,0.533,,0.447,--
1551,2007-05-28,Toronto,,0.333,0.000,0.500,0.375,,0.421,0.000
1552,2007-05-28,Washington,,0.667,1.000,0.474,0.364,,0.415,--
1553,2007-05-28,Baltimore,,0.667,1.000,0.550,0.235,,0.405,--
1554,2007-05-28,NY Yankees,,0.000,0.000,0.474,0.313,,0.400,--
1555,2007-05-28,Tampa Bay,,0.667,1.000,0.476,0.286,,0.400,--
1556,2007-05-28,St. Louis,,0.333,0.000,0.526,0.263,,0.395,0.000
1557,2007-05-28,Houston,,0.000,0.000,0.474,0.304,,0.381,--
1558,2007-05-28,Texas,,0.000,0.000,0.400,0.263,,0.333,--
1559,2007-05-28,Cincinnati,,0.000,0.000,0.304,0.333,,0.317,1.000
1560,2007-05-29,LA Angels,,0.667,0.000,0.727,0.650,,0.691,--
1561,2007-05-29,Boston,,1.000,1.000,0.647,0.700,,0.676,--
1562,2007-05-29,Cleveland,,0.667,0.000,0.867,0.539,,0.659,--
1563,2007-05-29,NY Mets,,1.000,1.000,0.571,0.714,,0.643,--
1564,2007-05-29,San Diego,,1.000,1.000,0.682,0.500,,0.600,0.000
1565,2007-05-29,Detroit,,0.000,0.000,0.565,0.571,,0.568,--
1566,2007-05-29,Atlanta,,0.333,1.000,0.526,0.591,,0.561,1.000
1567,2007-05-29,Arizona,,1.000,1.000,0.650,0.478,,0.558,--
1568,2007-05-29,LA Dodgers,,0.667,1.000,0.619,0.474,,0.550,--
1569,2007-05-29,Seattle,,1.000,1.000,0.556,0.546,,0.550,--
1570,2007-05-29,Milwaukee,,0.000,0.000,0.696,0.368,,0.548,--
1571,2007-05-29,Philadelphia,,0.667,0.000,0.571,0.520,,0.544,0.000
1572,2007-05-29,Chi Sox,,0.333,0.000,0.500,0.529,,0.514,--
1573,2007-05-29,SF Giants,,0.000,0.000,0.560,0.438,,0.512,--
1574,2007-05-29,Miami,,0.333,1.000,0.478,0.550,,0.512,--
1575,2007-05-29,Minnesota,,0.667,1.000,0.474,0.500,,0.487,1.000
1576,2007-05-29,Chi Cubs,,0.333,0.000,0.471,0.478,,0.475,1.000
1577,2007-05-29,Oakland,,0.333,1.000,0.471,0.478,,0.475,--
1578,2007-05-29,Colorado,,1.000,1.000,0.429,0.500,,0.463,--
1579,2007-05-29,Pittsburgh,,0.667,0.000,0.474,0.435,,0.452,--
1580,2007-05-29,Kansas City,,0.000,0.000,0.375,0.533,,0.436,--
1581,2007-05-29,Toronto,,0.667,1.000,0.533,0.375,,0.436,0.000
1582,2007-05-29,Baltimore,,1.000,1.000,0.550,0.278,,0.421,--
1583,2007-05-29,Tampa Bay,,0.667,1.000,0.500,0.286,,0.417,--
1584,2007-05-29,Washington,,0.667,1.000,0.474,0.364,,0.415,--
1585,2007-05-29,NY Yankees,,0.000,0.000,0.474,0.294,,0.389,--
1586,2007-05-29,St. Louis,,0.333,0.000,0.526,0.250,,0.385,0.000
1587,2007-05-29,Houston,,0.000,0.000,0.474,0.304,,0.381,--
1588,2007-05-29,Cincinnati,,0.333,1.000,0.333,0.333,,0.333,1.000
1589,2007-05-29,Texas,,0.000,0.000,0.400,0.250,,0.325,--
1590,2007-05-30,LA Angels,,0.667,1.000,0.739,0.650,,0.698,--
1591,2007-05-30,Boston,,1.000,1.000,0.667,0.700,,0.684,--
1592,2007-05-30,NY Mets,,1.000,1.000,0.591,0.714,,0.651,--
1593,2007-05-30,Cleveland,,0.333,0.000,0.867,0.519,,0.643,--
1594,2007-05-30,San Diego,,0.667,0.000,0.682,0.474,,0.585,0.000
1595,2007-05-30,Detroit,,0.333,1.000,0.565,0.600,,0.579,--
1596,2007-05-30,Arizona,,1.000,1.000,0.650,0.500,,0.568,--
1597,2007-05-30,LA Dodgers,,0.667,1.000,0.619,0.500,,0.561,--
1598,2007-05-30,Milwaukee,,0.333,1.000,0.708,0.368,,0.558,--
1599,2007-05-30,Atlanta,,0.333,0.000,0.526,0.565,,0.548,1.000
1600,2007-05-30,Seattle,,0.667,0.000,0.556,0.522,,0.537,--
1601,2007-05-30,Philadelphia,,0.333,0.000,0.546,0.520,,0.532,0.000
1602,2007-05-30,Miami,,0.667,1.000,0.478,0.571,,0.523,--
1603,2007-05-30,Chi Sox,,0.000,0.000,0.500,0.500,,0.500,--
1604,2007-05-30,SF Giants,,0.000,0.000,0.560,0.412,,0.500,--
1605,2007-05-30,Minnesota,,1.000,1.000,0.500,0.500,,0.500,1.000
1606,2007-05-30,Colorado,,1.000,1.000,0.455,0.500,,0.476,--
1607,2007-05-30,Pittsburgh,,0.667,1.000,0.500,0.435,,0.465,--
1608,2007-05-30,Oakland,,0.333,0.000,0.444,0.478,,0.463,--
